,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burma,Cabo Verde,Cambodia,Canada,Chile,China,Colombia,Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,Estonia,Eswatini,Ethiopia,Finland,France,Georgia,Germany,Greece,Guatemala,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Luxembourg,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Suriname,Switzerland,Syria,Taiwan*,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,US,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,West Bank and Gaza,Yemen,Zambia,Zimbabwe
1/25/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016169864345075781,0.0,0.007610151953539073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012149167780186325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6338830621822424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002301113331408224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.082260357950122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042821286739352547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001364816681901741,7.878596969348278e-05,0.0,0.0,0.0,0.0,1.8296971494694277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.752703002961175e-05,0.0,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00026307096781009196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.389954781691927e-05,0.0,0.01270132587117477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012149167780186325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.946657181376869e-05,0.0,0.0,0.0,9.267766124364485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002301113331408224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.082260357950122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042821286739352547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020472250228526116,0.00015757193938696555,0.0,0.0,0.0,0.0,7.318788597877711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00032883870976261497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.184051255616368e-05,0.0,0.0,0.017357887381207422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0497225933954415e-05,0.0,3.6544945501767715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.946657181376869e-05,0.0,0.0,0.0,9.267766124364485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002301113331408224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.082260357950122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028547524492901694,0.0,0.0,0.0,0.0,7.18930131027904e-05,0.0,0.0,0.0,0.0001364816681901741,0.00011817895454022416,0.0,0.0,0.0,0.0,5.489091448408283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00032883870976261497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.184051255616368e-05,5.389954781691927e-05,0.0,0.0363921369060266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0497225933954415e-05,0.0,0.00014617978200707086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014866642953442172,0.0,0.0,0.0,9.267766124364485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005709504898580339,0.0,0.0,0.0,0.0,7.18930131027904e-05,0.0,0.0,0.0,0.00034120417047543526,0.0003151438787739311,0.0,0.0,0.0,0.0,5.489091448408283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00013153548390504598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.184051255616368e-05,5.389954781691927e-05,0.0,0.035584999577620936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014160676582309004,8.099445186790883e-05,0.0,0.00014617978200707086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919985772065303e-05,0.0,0.0,0.0,4.6338830621822424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001725834998556168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042821286739352547,0.0,0.0,0.0,0.0,7.18930131027904e-05,0.0,0.0,0.0,0.0002729633363803482,0.00023635790908044832,0.0,0.0,0.0,0.0,1.8296971494694277e-05,0.0,0.0,0.00043569390409048414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00026307096781009196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.389954781691927e-05,0.0,0.04668979007392737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014160676582309004,8.099445186790883e-05,0.0,0.00010963483650530316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88473940673918e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020813300134819043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002301113331408224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.123592638303057e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007136881123225425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002729633363803482,0.00023635790908044832,0.0,0.0,0.0,0.0,1.8296971494694277e-05,0.0,0.0,0.00043569390409048414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00026307096781009196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807736869060984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014160676582309004,4.0497225933954415e-05,0.0,3.6544945501767715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88473940673918e-06,0.0,0.0,0.0,0.0,0.0,8.671205543272194e-05,0.0,0.00023786628725507475,0.0,0.0,0.0,0.000324371814352757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002301113331408224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.123592638303057e-05,0.0,0.0,0.0,0.0,5.566209464993284e-05,0.0,0.0,0.0,0.0,0.0008564257347870509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001364816681901741,0.00019696492423370695,0.0,0.0,0.0,0.0,5.489091448408283e-05,0.0,0.0,0.00043569390409048414,8.124852760237216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00039460645171513793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05147939619853238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0497225933954415e-05,0.0,0.00014617978200707086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88473940673918e-06,0.0,0.0,0.0,0.0,0.0,8.671205543272194e-05,0.0,0.00038653271678949644,0.0,0.0,0.0,0.0003707106449745794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75278332852056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.123592638303057e-05,0.0,0.0,0.0,0.0,5.566209464993284e-05,0.0,0.0,0.0,0.0,0.0012846386021805765,0.0,0.0,0.0,4.840803267536841e-05,0.0,0.0,0.0,0.0,0.0001364816681901741,0.00019696492423370695,0.0,0.0,0.0,0.0,3.6593942989388554e-05,0.0,0.0,0.0,8.124852760237216e-05,0.0,0.0,0.0,0.0001350540600592235,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00019730322585756897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07529438220698507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0497225933954415e-05,0.0,0.00021926967301060633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88473940673918e-06,0.0,0.0,0.0,0.0,0.0,8.671205543272194e-05,0.0,0.0002675995731619591,0.0,0.0,0.0,0.0005097271368400466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.123592638303057e-05,0.0,0.0,0.0,0.0,5.566209464993284e-05,0.0,0.0,0.0,0.0,0.0011419009797160678,0.0,0.0,0.0,4.840803267536841e-05,0.0,0.0,0.0,0.0,6.824083409508705e-05,0.00019696492423370695,0.0,0.0,0.0,0.0,3.6593942989388554e-05,0.0,0.0,0.00010892347602262103,8.124852760237216e-05,0.0,0.0,0.0,0.0001350540600592235,0.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0,0.0,0.0,0.00019730322585756897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08793362059135941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0497225933954415e-05,0.0,0.00025581461851237406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776947881347836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014866642953442172,0.0,0.0,0.0,0.0001853553224872897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.123592638303057e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007136881123225425,0.0,0.0,0.0,4.840803267536841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.489091448408283e-05,0.0,0.0,0.00010892347602262103,0.00024374558280711647,0.0,0.0,0.0,0.00020258109008883525,0.0,0.0,0.0,0.0
