,0,1
0,Germany,United Kingdom
1,Finland,United Kingdom
2,France,Italy
3,Germany,Italy
4,Finland,Italy
5,Italy,Russia
6,France,Spain
7,Germany,Spain
8,France,Belgium
9,Germany,Belgium
10,France,Croatia
11,France,Austria
12,Germany,Austria
13,Finland,Austria
14,Belgium,Austria
15,Croatia,Austria
16,France,Switzerland
17,Italy,Switzerland
18,Belgium,Switzerland
19,Spain,Norway
20,Austria,Norway
21,Switzerland,Norway
22,Germany,Greece
23,Russia,North Macedonia
24,Belgium,Romania
25,Germany,Estonia
26,Finland,Denmark
27,Greece,Denmark
28,Spain,Netherlands
29,Belgium,Netherlands
30,France,Iceland
31,Belgium,Iceland
32,Croatia,Iceland
33,Switzerland,Iceland
34,Georgia,Iceland
35,Norway,Iceland
36,Netherlands,Iceland
37,United Kingdom,Belarus
38,Russia,Belarus
39,Spain,Belarus
40,Georgia,Belarus
41,Greece,Monaco
42,Iceland,Monaco
43,France,Luxembourg
44,Croatia,Luxembourg
45,Austria,Luxembourg
46,Switzerland,Luxembourg
47,Greece,Luxembourg
48,Estonia,Luxembourg
49,Denmark,Luxembourg
50,France,Ireland
51,United Kingdom,Ireland
52,Russia,Ireland
53,Belgium,Ireland
54,Georgia,Azerbaijan
55,Monaco,Azerbaijan
56,Denmark,Czechia
57,Belarus,Czechia
58,Luxembourg,Czechia
59,Georgia,Armenia
60,Germany,Latvia
61,France,Portugal
62,Germany,Portugal
63,Georgia,Portugal
64,North Macedonia,Portugal
65,Croatia,Ukraine
66,Georgia,Ukraine
67,Luxembourg,Ukraine
68,Ireland,Ukraine
69,Belgium,Liechtenstein
70,Switzerland,Liechtenstein
71,Ireland,Hungary
72,Azerbaijan,Hungary
73,Azerbaijan,Poland
74,Liechtenstein,Poland
75,France,Slovenia
76,Russia,Slovenia
77,Croatia,Slovenia
78,Austria,Slovenia
79,Georgia,Slovenia
80,Austria,Slovakia
81,Netherlands,Slovakia
82,Hungary,Slovakia
83,Slovenia,Slovakia
84,Greece,Serbia
85,Ireland,Serbia
86,Denmark,Malta
87,Poland,Malta
88,Denmark,Bulgaria
89,Luxembourg,Bulgaria
90,Bosnia and Herzegovina,Bulgaria
91,Slovakia,Bulgaria
92,Malta,Bulgaria
93,Ireland,Moldova
94,Poland,Moldova
95,Greece,Albania
96,Serbia,Albania
97,Bulgaria,Albania
98,Denmark,Cyprus
99,Netherlands,Cyprus
100,Serbia,Kosovo
101,France,Lithuania
102,Netherlands,Lithuania
