Country Name,Population(2021)
Afghanistan,40099462
Albania,2811666
Algeria,44177969
Angola,34503774
Argentina,45808747
Armenia,2790974
Australia,25688079
Austria,8955797
Azerbaijan,10137750
Bahamas,407906
Bahrain,1463265
Bangladesh,169356251
Barbados,281200
Belarus,9340314
Belgium,11592952
Belize,400031
Bolivia,12079472
Bosnia and Herzegovina,3270943
Brazil,214326223
Bulgaria,6877743
Burma,53798084
Cabo Verde,587925
Cambodia,16589023
Canada,38246108
Chile,19493184
China,1412360000
Colombia,51516562
Congo (Kinshasa),95894118
Costa Rica,5153957
Cote d'Ivoire,27478249
Croatia,3899000
Cuba,11256372
Cyprus,1244188
Czechia,10505772
Denmark,5856733
Djibouti,1105557
Dominican Republic,11117873
Ecuador,17797737
Egypt,109262178
Estonia,1330932
Eswatini,1192271
Ethiopia,120283026
Finland,5541017
France,67749632
Georgia,3708610
Germany,83196078
Greece,10641221
Guatemala,17109746
Guyana,804567
Haiti,11447569
Honduras,10278345
Hungary,9709891
Iceland,372520
India,1407563842
Indonesia,273753191
Iran,87923432
Iraq,43533592
Ireland,5033165
Israel,9364000
Italy,59109668
Jamaica,2827695
Japan,125681593
Jordan,11148278
Kazakhstan,19000988
Kenya,53005614
"Korea, South",51744876
Kosovo,1786038
Kuwait,4250114
Kyrgyzstan,6691800
Laos,7425057
Latvia,1884490
Lebanon,5592631
Libya,6735277
Liechtenstein,39039
Lithuania,2800839
Luxembourg,640064
Malawi,19889742
Malaysia,33573874
Maldives,521457
Mali,21904983
Malta,518536
Mauritania,4614974
Mexico,126705138
Moldova,2615199
Monaco,36686
Mongolia,3347782
Montenegro,619211
Morocco,37076584
Mozambique,32077072
Namibia,2530151
Nepal,30034989
Netherlands,17533044
New Zealand,5122600
Niger,25252722
Nigeria,213401323
North Macedonia,2065092
Norway,5408320
Oman,4520471
Pakistan,231402117
Panama,4351267
Paraguay,6703799
Peru,33715471
Philippines,113880328
Poland,37747124
Portugal,10325147
Qatar,2688235
Romania,19119880
Russia,143449286
Rwanda,13461888
Saudi Arabia,35950396
Senegal,16876720
Serbia,6834326
Singapore,5453566
Slovakia,5447247
Slovenia,2108079
South Africa,59392255
Spain,47415750
Sri Lanka,21497310
Suriname,612985
Switzerland,8703405
Syria,21324367
Taiwan*,23859912
Thailand,71601103
Togo,8644829
Trinidad and Tobago,1525663
Tunisia,12262946
Turkey,84775404
US,331893745
Uganda,45853778
Ukraine,43792855
United Arab Emirates,9365145
United Kingdom,67326569
Uruguay,3426260
Uzbekistan,34915100
Venezuela,28199867
Vietnam,97468029
West Bank and Gaza,4922749
Yemen,32981641
Zambia,19473125
Zimbabwe,15993524
