"","Method","Graph","p","n","Time","TPR","FDR","SHD"
"1","PC","ER2","30","30","0.29(0.09)","27.0(6.6)","63.8(8.3)","58.0(8.2)"
"2","PC","ER2","30","100","0.20(0.06)","37.4(8.5)","48.7(9.7)","43.1(8.7)"
"3","PC","ER2","30","300","0.16(0.05)","42.5(8.6)","40.3(8.8)","36.8(9.2)"
"4","PC","ER5","30","30","0.24(0.07)","9.0(2.1)","60.4(8.1)","146.2(10.3)"
"5","PC","ER5","30","100","0.17(0.02)","10.5(2.3)","56.5(8.2)","143.1(10.6)"
"6","PC","ER5","30","300","0.16(0.02)","10.1(2.2)","57.9(8.4)","143.1(10.1)"
"7","GES","ER2","30","30","0.09(0.04)","44.8(11.8)","71.2(7.4)","84.8(14.4)"
"8","GES","ER2","30","100","0.08(0.03)","68.0(12.8)","53.6(11.0)","53.8(17.2)"
"9","GES","ER2","30","300","0.09(0.03)","74.8(12.0)","50.5(14.8)","52.2(25.8)"
"10","GES","ER5","30","30","0.12(0.04)","23.5(5.3)","72.8(5.4)","180.8(14.5)"
"11","GES","ER5","30","100","0.14(0.02)","31.9(6.9)","72.6(5.9)","188.1(19.5)"
"12","GES","ER5","30","300","0.22(0.03)","38.7(7.5)","75.6(5.2)","218.7(20.9)"
"13","MMHC","ER2","30","30","0.04(0.02)","16.6(5.3)","54.5(12.4)","52.7(8.0)"
"14","MMHC","ER2","30","100","0.05(0.03)","38.2(9.1)","37.5(10.8)","39.4(9.3)"
"15","MMHC","ER2","30","300","0.08(0.03)","50.4(10.2)","32.6(10.1)","32.6(9.3)"
"16","MMHC","ER5","30","30","0.04(0.02)","5.0(1.7)","62.6(11.0)","147.2(9.9)"
"17","MMHC","ER5","30","100","0.05(0.02)","7.7(2.4)","61.6(10.2)","144.6(10.0)"
"18","MMHC","ER5","30","300","0.08(0.01)","9.6(2.3)","60.0(7.8)","143.2(10.3)"
"19","EqVar","ER2","30","30","2.37(0.79)","53.4(8.9)","46.0(8.0)","49.6(9.2)"
"20","EqVar","ER2","30","100","1.35(0.17)","94.6(3.0)","27.4(4.6)","23.7(5.7)"
"21","EqVar","ER2","30","300","1.48(0.14)","99.9(0.4)","19.6(4.5)","14.7(4.6)"
"22","EqVar","ER5","30","30","2.16(0.44)","44.7(5.3)","40.9(5.3)","123.0(13.0)"
"23","EqVar","ER5","30","100","1.18(0.10)","82.3(3.7)","27.9(3.4)","73.6(10.8)"
"24","EqVar","ER5","30","300","1.27(0.09)","96.8(1.6)","26.5(3.0)","57.3(9.1)"
"25","CLIME","ER2","30","30","2.09(0.55)","28.4(7.9)","74.0(7.4)","73.7(14.0)"
"26","CLIME","ER2","30","100","1.30(0.17)","37.3(11.3)","79.3(8.1)","97.1(22.7)"
"27","CLIME","ER2","30","300","1.40(0.18)","90.6(4.6)","40.0(9.5)","38.7(15.0)"
"28","CLIME","ER5","30","30","2.04(0.43)","18.9(4.1)","76.6(4.9)","181.3(13.4)"
"29","CLIME","ER5","30","100","1.20(0.12)","25.6(5.8)","80.8(4.4)","217.8(15.4)"
"30","CLIME","ER5","30","300","1.17(0.07)","80.5(5.5)","48.0(5.7)","128.8(23.8)"
"31","abessdag","ER2","30","30","0.90(0.30)","56.9(10.3)","28.0(9.6)","36.5(10.0)"
"32","abessdag","ER2","30","100","0.88(0.23)","96.9(3.2)","6.9(4.6)","5.8(4.2)"
"33","abessdag","ER2","30","300","0.99(0.05)","99.9(0.4)","2.4(2.5)","1.6(1.8)"
"34","abessdag","ER5","30","30","0.73(0.04)","36.4(4.9)","37.7(6.8)","124.0(13.1)"
"35","abessdag","ER5","30","100","0.98(0.27)","84.5(4.3)","18.8(4.7)","51.9(12.2)"
"36","abessdag","ER5","30","300","1.13(0.15)","99.5(0.8)","10.5(3.7)","18.5(7.4)"
"37","notears","ER2","30","30","9.51(4.47)","66.6(9.7)","33.1(9.4)","36.2(11.0)"
"38","notears","ER2","30","100","4.74(1.48)","89.1(5.6)","4.5(4.0)","7.5(4.4)"
"39","notears","ER2","30","300","4.02(1.32)","94.9(4.4)","2.7(3.5)","3.8(3.7)"
"40","notears","ER5","30","30","11.13(6.98)","48.1(6.2)","34.5(7.0)","109.3(16.8)"
"41","notears","ER5","30","100","9.55(5.95)","63.5(7.2)","18.9(7.4)","71.2(18.4)"
"42","notears","ER5","30","300","12.45(5.24)","69.9(6.4)","14.3(6.1)","57.6(16.0)"
