"","Method","Graph","p","n","Time","TPR","FDR","SHD"
"1","PC","BA2","30","30","0.33(0.08)","24.4(5.3)","64.5(8.7)","55.7(5.4)"
"2","PC","BA2","30","100","0.33(0.09)","30.0(6.4)","54.1(9.3)","44.9(5.0)"
"3","PC","BA2","30","300","0.33(0.09)","31.1(6.8)","51.6(10.2)","42.0(4.9)"
"4","PC","BA5","30","30","0.30(0.05)","9.2(2.5)","64.1(9.5)","125.0(5.3)"
"5","PC","BA5","30","100","0.18(0.05)","9.9(2.5)","62.4(9.0)","122.9(5.0)"
"6","PC","BA5","30","300","0.26(0.08)","10.4(2.4)","61.4(8.7)","122.2(4.8)"
"7","GES","BA2","30","30","0.11(0.04)","37.4(7.7)","74.9(5.9)","83.5(10.9)"
"8","GES","BA2","30","100","0.11(0.03)","55.6(8.3)","59.9(7.2)","55.6(9.2)"
"9","GES","BA2","30","300","0.12(0.04)","64.6(8.9)","53.9(9.6)","47.2(12.7)"
"10","GES","BA5","30","30","0.16(0.05)","23.1(5.2)","75.6(5.3)","159.9(12.2)"
"11","GES","BA5","30","100","0.13(0.03)","32.6(5.3)","72.9(4.6)","156.8(12.0)"
"12","GES","BA5","30","300","0.27(0.08)","39.5(7.4)","74.2(5.7)","172.7(19.7)"
"13","MMHC","BA2","30","30","0.05(0.02)","16.8(4.9)","54.2(11.6)","50.1(3.6)"
"14","MMHC","BA2","30","100","0.08(0.02)","31.6(5.7)","44.3(9.3)","41.9(4.4)"
"15","MMHC","BA2","30","300","0.13(0.04)","39.7(6.1)","41.0(8.0)","37.5(4.6)"
"16","MMHC","BA5","30","30","0.06(0.01)","5.4(1.9)","64.9(11.5)","123.7(3.8)"
"17","MMHC","BA5","30","100","0.05(0.01)","7.9(2.4)","64.8(9.6)","122.8(4.2)"
"18","MMHC","BA5","30","300","0.13(0.04)","9.8(2.6)","63.3(9.1)","121.7(5.0)"
"19","EqVar","BA2","30","30","2.75(0.41)","59.9(8.2)","48.3(7.7)","49.0(8.3)"
"20","EqVar","BA2","30","100","1.80(0.21)","93.4(3.9)","27.4(5.5)","22.6(5.6)"
"21","EqVar","BA2","30","300","1.97(0.24)","99.7(0.8)","18.5(4.9)","13.0(4.2)"
"22","EqVar","BA5","30","30","2.92(0.40)","50.3(5.1)","44.5(5.3)","106.5(10.7)"
"23","EqVar","BA5","30","100","1.21(0.20)","85.8(3.0)","31.4(3.8)","66.2(9.3)"
"24","EqVar","BA5","30","300","2.02(0.52)","98.4(1.1)","28.5(3.6)","51.4(9.1)"
"25","CLIME","BA2","30","30","2.41(0.39)","29.4(8.2)","77.0(6.7)","78.2(10.0)"
"26","CLIME","BA2","30","100","1.71(0.18)","24.6(8.4)","87.8(4.9)","112.6(13.4)"
"27","CLIME","BA2","30","300","1.84(0.20)","78.0(8.2)","52.3(11.3)","53.0(19.6)"
"28","CLIME","BA5","30","30","2.66(0.36)","20.5(4.3)","77.8(4.7)","161.7(11.1)"
"29","CLIME","BA5","30","100","1.16(0.18)","27.3(6.6)","81.1(4.4)","192.5(12.7)"
"30","CLIME","BA5","30","300","1.87(0.47)","78.4(5.6)","52.3(6.0)","121.8(22.2)"
"31","abessdag","BA2","30","30","1.20(0.13)","57.9(8.3)","35.0(9.3)","37.7(7.8)"
"32","abessdag","BA2","30","100","1.36(0.15)","92.8(4.3)","15.6(5.8)","12.8(5.1)"
"33","abessdag","BA2","30","300","0.95(0.16)","99.6(0.9)","9.4(4.6)","6.1(3.4)"
"34","abessdag","BA5","30","30","0.84(0.29)","41.9(5.5)","41.6(6.8)","104.8(10.6)"
"35","abessdag","BA5","30","100","1.49(0.10)","86.2(4.2)","22.5(5.5)","47.7(11.8)"
"36","abessdag","BA5","30","300","1.64(0.10)","99.2(1.0)","14.5(5.0)","22.4(9.1)"
"37","notears","BA2","30","30","21.01(9.15)","52.6(8.3)","40.6(8.3)","42.6(7.6)"
"38","notears","BA2","30","100","16.80(8.21)","73.9(7.8)","9.8(5.6)","16.4(5.2)"
"39","notears","BA2","30","300","11.67(7.05)","80.9(6.8)","7.8(4.2)","12.2(4.6)"
"40","notears","BA5","30","30","22.52(17.29)","44.4(5.7)","37.0(6.1)","96.2(10.3)"
"41","notears","BA5","30","100","26.87(16.98)","58.5(7.2)","18.8(6.4)","63.7(12.7)"
"42","notears","BA5","30","300","25.99(16.61)","64.2(6.7)","14.3(5.4)","53.3(11.5)"
"43","NPVAR","BA2","30","300","1.24(7.09)","2.5(14.3)","0.0(0.0)","0.3(1.6)"
