"","Method","Graph","p","n","Time","TPR","FDR","SHD"
"1","abessdag","ER2","30","30","0.24(0.07)","46.2(9.0)","42.7(9.2)","46.9(10.5)"
"2","notears","ER2","30","30","8.76(6.03)","61.1(8.8)","74.0(4.7)","119.3(13.8)"
"3","pabessdag_20","ER2","30","30","0.60(0.19)","48.7(9.6)","38.5(9.8)","44.1(10.7)"
"4","pabessdag_50","ER2","30","30","0.41(0.13)","53.4(9.0)","31.0(9.0)","39.6(10.2)"
"5","pabessdag_80","ER2","30","30","0.31(0.10)","59.1(9.2)","22.9(8.4)","34.0(9.1)"
"6","EqVar","ER2","30","30","1.69(0.22)","52.5(7.9)","54.8(7.1)","58.2(11.4)"
"7","CLIME","ER2","30","30","1.56(0.20)","30.8(6.9)","77.3(5.6)","84.9(13.5)"
"8","PC","ER2","30","30","0.18(0.03)","25.8(6.4)","63.4(8.7)","58.6(8.2)"
"9","GES","ER2","30","30","0.06(0.01)","47.5(10.3)","68.8(6.6)","82.3(13.7)"
"10","MMHC","ER2","30","30","0.02(0.01)","16.9(5.2)","51.4(10.6)","52.2(8.6)"
"11","abessdag","ER2","30","100","0.32(0.01)","72.0(8.3)","37.1(10.0)","35.7(11.2)"
"12","notears","ER2","30","100","5.95(2.29)","73.2(9.0)","45.7(8.1)","44.9(10.2)"
"13","pabessdag_20","ER2","30","100","0.67(0.06)","75.0(8.4)","33.5(10.4)","32.4(11.5)"
"14","pabessdag_50","ER2","30","100","0.46(0.06)","80.9(7.5)","25.1(10.3)","24.6(10.4)"
"15","pabessdag_80","ER2","30","100","0.35(0.05)","86.4(6.5)","16.7(8.7)","17.2(8.5)"
"16","EqVar","ER2","30","100","1.11(0.09)","75.7(7.7)","43.9(7.7)","42.9(11.0)"
"17","CLIME","ER2","30","100","1.06(0.09)","36.2(8.9)","80.9(5.7)","104.7(22.5)"
"18","PC","ER2","30","100","0.13(0.03)","36.9(7.9)","46.6(8.8)","43.8(8.8)"
"19","GES","ER2","30","100","0.05(0.01)","66.0(12.2)","53.4(10.9)","54.0(17.7)"
"20","MMHC","ER2","30","100","0.04(0.01)","35.3(9.3)","38.1(11.7)","41.4(9.4)"
"21","abessdag","ER2","30","300","0.43(0.01)","81.8(6.6)","36.8(9.6)","32.6(12.1)"
"22","notears","ER2","30","300","9.71(4.75)","77.9(8.9)","32.4(10.6)","28.8(11.8)"
"23","pabessdag_20","ER2","30","300","0.81(0.06)","85.4(5.9)","32.9(10.1)","28.7(12.1)"
"24","pabessdag_50","ER2","30","300","0.53(0.07)","90.0(4.9)","24.7(10.4)","20.7(10.9)"
"25","pabessdag_80","ER2","30","300","0.39(0.05)","95.7(3.6)","14.0(9.6)","11.1(8.5)"
"26","EqVar","ER2","30","300","1.26(0.08)","84.2(5.7)","41.6(9.1)","38.8(12.7)"
"27","CLIME","ER2","30","300","1.17(0.07)","86.1(6.0)","41.3(10.5)","39.5(15.6)"
"28","PC","ER2","30","300","0.11(0.03)","39.9(9.3)","40.6(10.1)","38.5(9.9)"
