"","Method","Graph","p","n","Time","TPR","FDR","SHD"
"1","abessdag","ER2","100","50","8.12(0.55)","76.2(5.0)","15.3(4.0)","72.2(16.8)"
"2","EqVar","ER2","100","50","110.49(146.73)","47.6(4.7)","61.3(4.4)","222.9(27.7)"
"3","CLIME","ER2","100","50","88.32(114.59)","32.0(4.3)","76.5(3.6)","277.8(32.1)"
"4","PC","ER2","100","50","8.99(14.50)","31.9(4.2)","63.7(4.3)","199.0(15.4)"
"5","GES","ER2","100","50","41.93(90.19)","67.8(6.6)","82.0(2.8)","668.3(87.0)"
"6","MMHC","ER2","100","50","0.97(1.59)","28.1(4.5)","42.0(6.8)","157.4(17.1)"
"7","abessdag","ER2","100","200","18.16(0.15)","99.5(0.6)","3.2(1.9)","7.3(4.7)"
"8","EqVar","ER2","100","200","52.67(2.93)","98.5(1.0)","32.0(3.0)","96.0(14.4)"
"9","CLIME","ER2","100","200","43.17(2.43)","70.6(5.9)","65.8(5.5)","293.4(53.8)"
"10","PC","ER2","100","200","1.07(0.19)","45.8(5.3)","40.9(5.1)","119.3(16.8)"
"11","GES","ER2","100","200","1.93(0.46)","86.7(5.1)","51.1(5.8)","189.9(38.2)"
"12","MMHC","ER2","100","200","0.50(0.04)","58.4(6.3)","23.2(4.9)","92.2(17.4)"
"13","abessdag","ER2","100","500","89.98(2.88)","100.0(0.1)","1.3(1.2)","2.7(2.7)"
"14","EqVar","ER2","100","500","56.51(1.75)","100.0(0.2)","21.2(3.0)","55.0(10.6)"
"15","CLIME","ER2","100","500","44.97(1.21)","92.9(1.9)","42.6(4.9)","142.5(28.9)"
"16","PC","ER2","100","500","0.92(0.21)","49.6(5.7)","36.2(5.5)","105.2(17.2)"
"17","GES","ER2","100","500","1.66(0.44)","88.7(4.4)","44.8(7.5)","149.7(41.9)"
"18","MMHC","ER2","100","500","0.81(0.12)","68.9(6.3)","19.8(4.7)","70.5(16.4)"
"19","abessdag","ER5","100","50","3.80(0.76)","44.1(4.2)","37.1(5.2)","404.7(46.4)"
"20","EqVar","ER5","100","50","45.67(16.69)","34.7(2.8)","70.7(2.6)","692.9(58.8)"
"21","CLIME","ER5","100","50","35.72(12.14)","20.0(2.7)","85.1(2.1)","864.1(62.5)"
"22","PC","ER5","100","50","4.66(1.94)","10.2(1.8)","61.8(5.0)","494.8(26.5)"
"23","GES","ER5","100","50","15.11(6.45)","35.5(4.9)","82.2(2.0)","1074.2(87.9)"
"24","MMHC","ER5","100","50","0.49(0.19)","7.5(1.3)","57.8(5.6)","487.5(25.4)"
"25","abessdag","ER5","100","200","14.22(0.27)","95.5(2.6)","25.3(6.0)","188.7(70.5)"
"26","EqVar","ER5","100","200","86.33(29.47)","93.9(1.3)","41.7(2.8)","370.1(51.3)"
"27","CLIME","ER5","100","200","84.56(31.83)","50.6(4.7)","79.7(2.6)","1137.1(108.1)"
"28","PC","ER5","100","200","3.71(1.11)","12.2(2.0)","56.4(4.5)","473.4(28.3)"
"29","GES","ER5","100","200","16.70(6.12)","53.7(7.5)","75.0(4.6)","944.3(123.4)"
"30","MMHC","ER5","100","200","0.89(0.30)","14.1(2.5)","48.4(6.2)","460.3(30.4)"
"31","abessdag","ER5","100","500","87.13(2.21)","99.9(0.2)","20.0(7.3)","133.2(71.7)"
"32","EqVar","ER5","100","500","114.96(13.31)","99.6(0.3)","39.3(3.2)","330.6(55.9)"
