"","p","n","alpha","Time","TPR","FDR","SHD","Layer"
"1","100","50","00","3.80(0.76)","44.1(4.2)","37.1(5.2)","404.7(46.4)","NA(NA)"
"2","100","50","02","7.52(1.33)","44.0(4.2)","37.2(5.3)","406.2(46.7)","83.0(3.1)"
"3","100","50","04","6.27(1.13)","44.1(4.2)","37.0(5.2)","405.6(46.9)","73.0(3.9)"
"4","100","50","06","5.37(1.10)","43.9(4.3)","37.1(5.4)","406.3(47.7)","65.2(4.0)"
"5","100","50","08","4.73(1.09)","43.8(4.5)","37.3(5.5)","407.8(48.5)","59.4(4.2)"
"6","100","50","10","4.18(0.80)","43.6(4.4)","37.5(5.4)","409.6(48.7)","55.1(4.4)"
"7","100","50","30","2.04(0.42)","42.5(4.2)","38.9(5.3)","420.4(46.7)","33.9(3.5)"
"8","100","200","00","14.22(0.27)","95.5(2.6)","25.3(6.0)","188.7(70.5)","NA(NA)"
"9","100","200","02","6.55(0.59)","95.5(2.5)","25.2(6.1)","188.7(70.6)","62.2(4.9)"
"10","100","200","04","4.63(0.53)","95.4(2.6)","25.3(6.1)","189.6(71.4)","46.0(4.7)"
"11","100","200","06","3.61(0.49)","95.2(2.8)","25.4(6.1)","190.7(70.5)","36.8(4.4)"
"12","100","200","08","2.99(0.39)","95.1(2.7)","25.8(6.4)","195.8(74.7)","31.2(4.1)"
"13","100","200","10","2.50(0.36)","94.9(2.8)","26.0(6.2)","197.9(73.1)","26.7(3.9)"
"14","100","200","30","1.26(0.18)","88.3(2.6)","37.1(4.6)","322.5(64.8)","14.6(2.4)"
"15","100","500","00","87.13(2.21)","99.9(0.2)","20.0(7.3)","133.2(71.7)","NA(NA)"
"16","100","500","02","13.38(1.51)","99.9(0.3)","19.8(7.3)","132.2(76.0)","49.5(4.6)"
"17","100","500","04","8.81(1.11)","99.8(0.3)","19.7(7.3)","131.2(74.3)","33.4(3.7)"
"18","100","500","06","6.67(0.84)","99.8(0.3)","19.5(6.9)","129.2(68.1)","25.5(2.9)"
"19","100","500","08","5.31(0.73)","99.7(0.3)","19.6(6.8)","129.8(68.6)","20.5(2.7)"
"20","100","500","10","4.66(0.63)","99.5(0.4)","20.2(6.7)","135.3(69.1)","18.3(2.2)"
"21","100","500","30","2.81(0.30)","91.4(1.1)","40.9(5.2)","366.1(85.4)","11.2(1.2)"
