,Time,TPR,FDR,SHD,Layer
0,7.94,38.48,44.35,436.0,60.0
1,4.29,40.0,42.12,441.0,57.0
2,3.96,41.2,44.53,466.0,54.0
3,8.71,40.34,44.39,472.0,60.0
4,7.11,44.85,34.93,400.0,49.0
5,4.58,46.54,35.12,402.0,61.0
6,4.11,48.62,32.42,371.0,53.0
7,4.79,44.47,35.94,395.0,53.0
8,4.05,44.1,31.51,363.0,55.0
9,4.17,36.9,41.16,459.0,55.0
10,4.19,45.1,34.42,382.0,57.0
11,4.5,43.29,40.36,449.0,58.0
12,4.53,42.06,41.6,432.0,59.0
13,4.09,39.85,43.16,482.0,59.0
14,3.58,47.67,34.36,376.0,51.0
15,4.45,46.39,34.78,374.0,54.0
16,4.02,52.04,33.88,341.0,56.0
17,4.51,44.09,33.73,388.0,61.0
18,3.64,48.06,30.27,350.0,48.0
19,3.95,46.12,32.77,390.0,55.0
20,3.87,46.43,31.37,346.0,49.0
21,5.1,38.53,45.84,517.0,62.0
22,4.35,38.62,45.26,480.0,57.0
23,4.26,42.26,38.44,430.0,57.0
24,4.47,38.79,37.76,446.0,58.0
25,4.27,50.7,31.06,356.0,57.0
26,3.85,41.8,43.21,439.0,50.0
27,4.25,37.5,47.58,493.0,61.0
28,3.68,43.75,41.83,410.0,52.0
29,3.9,50.3,30.28,351.0,55.0
30,3.87,41.78,39.5,432.0,55.0
31,3.5,43.65,40.17,411.0,49.0
32,3.1,43.74,43.35,429.0,45.0
33,4.09,41.06,37.05,417.0,57.0
34,3.58,50.71,30.85,348.0,49.0
35,4.27,49.0,34.93,379.0,58.0
36,3.66,45.94,33.9,389.0,50.0
37,3.6,46.0,35.69,403.0,51.0
38,3.61,41.48,37.84,412.0,52.0
39,4.24,39.63,38.39,405.0,58.0
40,3.58,45.78,31.07,377.0,51.0
41,4.48,42.71,40.4,418.0,62.0
42,3.78,44.06,41.26,415.0,51.0
43,3.45,48.6,28.48,325.0,52.0
44,3.84,51.21,26.24,328.0,54.0
45,3.63,41.35,38.4,427.0,47.0
46,4.23,48.84,31.86,340.0,58.0
47,4.18,47.89,35.33,361.0,53.0
48,4.57,40.58,42.9,452.0,62.0
49,3.86,44.03,36.17,382.0,54.0
50,3.92,45.77,29.94,362.0,57.0
51,3.95,46.09,32.3,350.0,54.0
52,3.56,42.6,35.06,398.0,53.0
53,3.54,46.88,32.84,363.0,51.0
54,5.02,38.69,44.21,488.0,65.0
55,4.08,41.62,40.06,428.0,59.0
56,4.74,37.5,43.85,485.0,62.0
57,3.17,54.68,29.2,313.0,46.0
58,3.84,49.08,31.73,359.0,53.0
59,4.66,44.65,35.99,384.0,60.0
60,3.85,42.3,41.24,457.0,53.0
61,3.11,43.24,38.12,404.0,46.0
62,4.53,46.75,35.03,380.0,59.0
63,4.18,39.43,39.42,450.0,55.0
64,4.33,41.57,41.53,429.0,59.0
65,4.21,44.21,38.33,396.0,58.0
66,3.57,46.71,31.21,356.0,52.0
67,4.72,43.09,36.63,446.0,61.0
68,4.2,44.29,35.9,406.0,55.0
69,4.18,41.79,43.22,422.0,57.0
70,4.08,47.15,30.75,343.0,56.0
71,3.83,41.68,40.4,426.0,52.0
72,4.63,41.35,40.11,469.0,62.0
73,3.54,45.56,33.79,403.0,49.0
74,3.84,42.68,41.01,420.0,53.0
75,3.92,42.09,37.12,396.0,54.0
76,3.55,47.97,35.52,381.0,48.0
77,3.47,53.02,30.79,346.0,50.0
78,4.72,31.97,52.22,542.0,61.0
79,4.32,44.19,39.2,429.0,59.0
80,4.21,48.47,31.9,363.0,55.0
81,4.04,34.46,42.32,474.0,55.0
82,4.17,42.04,37.76,397.0,57.0
83,3.31,45.15,32.62,368.0,49.0
84,3.5,49.7,31.2,355.0,50.0
85,4.39,47.08,33.86,406.0,59.0
86,3.87,43.99,33.94,380.0,53.0
87,3.97,43.01,40.64,398.0,58.0
88,3.95,43.32,38.81,436.0,52.0
89,4.08,40.97,39.19,430.0,58.0
90,4.33,39.69,40.46,443.0,58.0
91,3.93,40.39,44.53,464.0,54.0
92,4.77,38.74,44.38,471.0,62.0
93,4.38,38.79,38.46,413.0,59.0
94,5.11,50.0,23.56,328.0,56.0
95,4.99,42.45,38.5,432.0,52.0
96,4.4,28.23,54.6,562.0,59.0
97,4.01,36.55,44.38,484.0,57.0
98,4.08,43.25,39.88,395.0,56.0
99,3.38,40.73,43.1,438.0,49.0
