"","Errortype","Method","Graph","p","n","Time","TPR","FDR","SHD"
"1","Uniform","PC","ER2","30","30","0.21(0.03)","28.7(7.5)","61.8(8.7)","57.3(8.1)"
"2","Uniform","PC","ER2","30","100","0.15(0.03)","37.8(8.1)","48.0(9.0)","42.8(8.4)"
"3","Uniform","PC","ER2","30","300","0.14(0.04)","42.3(9.6)","40.7(9.8)","37.3(9.4)"
"4","Uniform","GES","ER2","30","30","0.07(0.01)","44.6(10.2)","71.1(6.2)","84.1(12.3)"
"5","Uniform","GES","ER2","30","100","0.07(0.02)","67.5(13.1)","54.1(10.7)","54.6(17.1)"
"6","Uniform","GES","ER2","30","300","0.07(0.02)","73.7(11.8)","51.9(13.7)","53.4(24.6)"
"7","Uniform","MMHC","ER2","30","30","0.03(0.01)","17.4(5.2)","52.0(11.4)","52.0(8.1)"
"8","Uniform","MMHC","ER2","30","100","0.04(0.01)","38.7(9.2)","36.7(10.0)","39.4(9.1)"
"9","Uniform","MMHC","ER2","30","300","0.07(0.01)","50.5(10.0)","32.4(9.4)","32.6(9.0)"
"10","Uniform","EqVar","ER2","30","30","1.84(0.24)","54.2(8.7)","44.5(7.9)","48.4(9.1)"
"11","Uniform","EqVar","ER2","30","100","1.20(0.09)","94.8(3.7)","26.1(4.8)","22.5(6.2)"
"12","Uniform","EqVar","ER2","30","300","1.40(0.13)","99.9(0.7)","19.2(4.1)","14.4(4.1)"
"13","Uniform","CLIME","ER2","30","30","1.62(0.20)","27.7(7.1)","74.3(7.6)","73.1(11.7)"
"14","Uniform","CLIME","ER2","30","100","1.15(0.10)","36.7(11.5)","79.5(8.1)","97.2(21.4)"
"15","Uniform","CLIME","ER2","30","300","1.28(0.10)","90.6(5.0)","39.7(9.9)","38.3(15.3)"
"16","Gumbel","PC","ER2","30","30","0.23(0.05)","27.8(7.2)","62.7(7.4)","57.6(7.8)"
"17","Gumbel","PC","ER2","30","100","0.18(0.05)","37.4(8.1)","48.1(8.8)","42.7(8.7)"
"18","Gumbel","PC","ER2","30","300","0.13(0.03)","42.7(10.7)","40.4(10.7)","37.0(10.1)"
"19","Gumbel","GES","ER2","30","30","0.08(0.02)","45.9(10.3)","70.8(6.4)","85.1(13.2)"
"20","Gumbel","GES","ER2","30","100","0.09(0.03)","66.8(12.4)","54.8(10.3)","55.9(18.7)"
"21","Gumbel","GES","ER2","30","300","0.07(0.02)","74.7(12.1)","51.2(14.5)","53.0(25.4)"
"22","Gumbel","MMHC","ER2","30","30","0.04(0.01)","17.3(5.1)","52.3(10.8)","52.3(8.1)"
"23","Gumbel","MMHC","ER2","30","100","0.06(0.04)","36.9(10.0)","39.8(11.3)","40.5(9.6)"
"24","Gumbel","MMHC","ER2","30","300","0.06(0.01)","49.9(11.0)","33.3(9.7)","32.9(9.5)"
"25","Gumbel","EqVar","ER2","30","30","2.13(0.40)","51.8(7.3)","47.4(8.1)","51.6(11.2)"
"26","Gumbel","EqVar","ER2","30","100","1.49(0.21)","94.4(4.0)","27.7(6.0)","24.2(7.0)"
"27","Gumbel","EqVar","ER2","30","300","1.33(0.11)","99.8(0.6)","19.7(4.9)","14.8(4.7)"
"28","Gumbel","CLIME","ER2","30","30","1.89(0.33)","29.1(6.8)","73.5(7.0)","73.5(13.5)"
"29","Gumbel","CLIME","ER2","30","100","1.45(0.24)","37.1(11.2)","79.6(7.7)","98.7(22.7)"
"30","Gumbel","CLIME","ER2","30","300","1.23(0.09)","91.0(4.8)","40.0(9.5)","38.5(14.3)"
"31","t","PC","ER2","30","30","0.19(0.03)","26.4(5.5)","63.8(7.4)","58.8(7.5)"
"32","t","PC","ER2","30","100","0.15(0.03)","37.7(7.9)","47.8(10.0)","42.7(8.1)"
"33","t","PC","ER2","30","300","0.12(0.03)","42.6(9.1)","39.9(9.2)","36.8(9.0)"
"34","t","GES","ER2","30","30","0.06(0.01)","47.1(11.0)","69.5(7.2)","83.0(14.3)"
"35","t","GES","ER2","30","100","0.06(0.01)","67.1(11.7)","54.7(10.1)","55.6(17.1)"
"36","t","GES","ER2","30","300","0.07(0.02)","73.0(11.9)","52.4(14.1)","54.1(24.7)"
"37","t","MMHC","ER2","30","30","0.03(0.01)","17.6(5.0)","50.3(12.4)","52.0(7.9)"
"38","t","MMHC","ER2","30","100","0.05(0.03)","37.6(9.0)","38.3(10.0)","39.9(9.0)"
"39","t","MMHC","ER2","30","300","0.07(0.01)","49.5(11.5)","33.8(11.8)","33.1(9.8)"
"40","t","EqVar","ER2","30","30","1.80(0.25)","46.8(8.2)","50.1(9.0)","53.5(9.9)"
"41","t","EqVar","ER2","30","100","1.16(0.10)","94.6(3.7)","26.8(5.6)","23.2(6.3)"
"42","t","EqVar","ER2","30","300","1.34(0.10)","99.9(0.5)","19.5(4.6)","14.6(4.4)"
"43","t","CLIME","ER2","30","30","1.64(0.20)","26.8(6.9)","75.3(6.2)","74.9(12.9)"
"44","t","CLIME","ER2","30","100","1.11(0.11)","36.9(9.3)","79.9(6.0)","98.3(18.7)"
"45","t","CLIME","ER2","30","300","1.24(0.09)","90.9(5.2)","39.4(10.3)","37.9(15.4)"
"46","Laplace","PC","ER2","30","30","0.25(0.07)","27.2(5.4)","62.9(7.4)","57.6(6.9)"
"47","Laplace","PC","ER2","30","100","0.18(0.06)","39.0(8.7)","45.9(9.0)","41.8(9.0)"
"48","Laplace","PC","ER2","30","300","0.13(0.03)","42.9(9.5)","40.1(9.6)","36.9(9.8)"
"49","Laplace","GES","ER2","30","30","0.08(0.02)","44.5(9.3)","71.3(6.6)","85.4(12.4)"
"50","Laplace","GES","ER2","30","100","0.08(0.03)","66.5(13.8)","54.6(11.9)","55.6(19.1)"
"51","Laplace","GES","ER2","30","300","0.07(0.02)","73.9(12.5)","51.2(14.3)","52.3(25.1)"
"52","Laplace","MMHC","ER2","30","30","0.03(0.01)","16.9(4.7)","53.3(10.5)","52.7(8.2)"
"53","Laplace","MMHC","ER2","30","100","0.05(0.01)","38.1(8.8)","37.5(11.2)","39.4(8.8)"
"54","Laplace","MMHC","ER2","30","300","0.07(0.01)","49.8(10.2)","33.2(10.3)","32.9(9.4)"
"55","Laplace","EqVar","ER2","30","30","2.20(0.39)","50.4(7.1)","47.2(7.9)","50.8(9.1)"
"56","Laplace","EqVar","ER2","30","100","1.48(0.32)","94.3(3.7)","27.7(5.0)","24.0(6.2)"
